Matches,SubMatches,GradientMatches,Keypoint,SubKeypoint,GradientKeypoint,Class
569,9,0.0158,769,2,0.0026,0
480,3,0.0063,726,20,0.0275,0
451,10,0.0222,635,40,0.063,0
469,4,0.0085,665,1,0.0015,0
452,11,0.0243,638,0,0.0,0
479,10,0.0209,652,13,0.0199,0
480,2,0.0042,672,19,0.0283,0
515,8,0.0155,680,4,0.0059,0
524,15,0.0286,698,26,0.0372,0
450,6,0.0133,704,36,0.0511,0
500,3,0.006,696,26,0.0374,0
447,53,0.1186,691,5,0.0072,0
425,11,0.0259,618,22,0.0356,0
404,33,0.0817,612,13,0.0212,0
422,88,0.2085,753,50,0.0664,0
576,3,0.0052,745,26,0.0349,0
551,25,0.0454,697,48,0.0689,0
8,346,43.25,1748,1307,0.7477,1
565,34,0.0602,700,7,0.01,0
592,14,0.0236,703,9,0.0128,0
619,2,0.0032,720,34,0.0472,0
586,3,0.0051,707,6,0.0085,0
606,14,0.0231,748,3,0.004,0
604,20,0.0331,773,44,0.0569,0
617,13,0.0211,760,13,0.0171,0
606,42,0.0693,736,13,0.0177,0
610,4,0.0066,731,5,0.0068,0
552,7,0.0127,709,14,0.0197,0
624,23,0.0369,771,9,0.0117,0
653,20,0.0306,763,0,0.0,0
616,48,0.0779,767,12,0.0156,0
650,4,0.0062,742,18,0.0243,0
628,28,0.0446,729,24,0.0329,0
619,20,0.0323,735,3,0.0041,0
603,14,0.0232,721,18,0.025,0
630,22,0.0349,726,14,0.0193,0
638,11,0.0172,761,14,0.0184,0
618,12,0.0194,733,5,0.0068,0
612,3,0.0049,715,27,0.0378,0
605,14,0.0231,756,18,0.0238,0
600,34,0.0567,752,11,0.0146,0
608,8,0.0132,743,9,0.0121,0
621,51,0.0821,746,13,0.0174,0
623,2,0.0032,754,8,0.0106,0
657,18,0.0274,762,14,0.0184,0
624,22,0.0353,752,27,0.0359,0
626,16,0.0256,705,33,0.0468,0
567,59,0.1041,768,48,0.0625,0
677,32,0.0473,762,19,0.0249,0
649,30,0.0462,801,19,0.0237,0
626,13,0.0208,747,17,0.0228,0
656,39,0.0595,744,2,0.0027,0
578,29,0.0502,731,3,0.0041,0
619,10,0.0162,743,9,0.0121,0
13,599,46.0769,140,608,4.3429,1
1153,13,0.0113,1559,22,0.0141,0
1166,13,0.0111,1458,101,0.0693,0
1203,50,0.0416,1391,24,0.0173,0
24,1256,52.3333,1496,92,0.0615,1
97,8,0.0825,118,3,0.0254,0
117,3,0.0256,132,12,0.0909,0
104,2,0.0192,133,7,0.0526,0
102,4,0.0392,133,2,0.015,0
98,1,0.0102,128,8,0.0625,0
71,4,0.0563,90,9,0.1,0
41,10,0.2439,65,11,0.1692,0
49,3,0.0612,64,0,0.0,0
48,3,0.0625,74,1,0.0135,0
52,4,0.0769,85,11,0.1294,0
77,13,0.1688,107,11,0.1028,0
67,8,0.1194,94,8,0.0851,0
80,5,0.0625,116,12,0.1034,0
81,3,0.037,112,2,0.0179,0
84,4,0.0476,106,3,0.0283,0
89,4,0.0449,121,1,0.0083,0
105,5,0.0476,128,1,0.0078,0
104,3,0.0288,147,16,0.1088,0
126,6,0.0476,157,12,0.0764,0
102,2,0.0196,143,5,0.035,0
105,3,0.0286,145,2,0.0138,0
125,9,0.072,170,15,0.0882,0
94,9,0.0957,123,11,0.0894,0
103,5,0.0485,133,2,0.015,0
95,11,0.1158,129,10,0.0775,0
111,12,0.1081,145,11,0.0759,0
111,1,0.009,144,8,0.0556,0
102,4,0.0392,145,14,0.0966,0
100,6,0.06,140,19,0.1357,0
103,2,0.0194,141,3,0.0213,0
106,3,0.0283,160,19,0.1187,0
148,9,0.0608,198,6,0.0303,0
162,3,0.0185,234,7,0.0299,0
171,22,0.1287,229,11,0.048,0
159,12,0.0755,229,0,0.0,0
154,4,0.026,259,34,0.1313,0
169,0,0.0,267,11,0.0412,0
174,16,0.092,290,13,0.0448,0
174,3,0.0172,280,22,0.0786,0
174,0,0.0,260,20,0.0769,0
156,5,0.0321,258,16,0.062,0
273,0,0.0,424,5,0.0118,0
581,7,0.012,762,15,0.0197,0
579,2,0.0035,806,4,0.005,0
601,9,0.015,798,15,0.0188,0
615,4,0.0065,829,11,0.0133,0
546,31,0.0568,811,17,0.021,0
603,32,0.0531,801,19,0.0237,0
580,99,0.1707,760,34,0.0447,0
569,15,0.0264,743,0,0.0,0
563,6,0.0107,734,39,0.0531,0
581,77,0.1325,804,39,0.0485,0
519,37,0.0713,799,33,0.0413,0
495,18,0.0364,766,48,0.0627,0
542,15,0.0277,808,55,0.0681,0
548,6,0.0109,769,39,0.0507,0
550,18,0.0327,790,37,0.0468,0
543,12,0.0221,831,21,0.0253,0
578,21,0.0363,861,20,0.0232,0
579,19,0.0328,850,23,0.0271,0
571,10,0.0175,834,1,0.0012,0
630,17,0.027,875,10,0.0114,0
602,28,0.0465,859,16,0.0186,0
669,20,0.0299,939,36,0.0383,0
647,12,0.0185,873,30,0.0344,0
15,654,43.6,556,340,0.6115,1
21,4,0.1905,51,2,0.0392,0
49,11,0.2245,89,0,0.0,0
53,14,0.2642,187,57,0.3048,0
111,37,0.3333,224,39,0.1741,0
74,17,0.2297,137,37,0.2701,0
27,1,0.037,92,18,0.1957,0
39,9,0.2308,105,27,0.2571,0
85,25,0.2941,173,5,0.0289,0
95,22,0.2316,156,43,0.2756,0
79,8,0.1013,103,24,0.233,0
57,18,0.3158,141,16,0.1135,0
62,9,0.1452,111,10,0.0901,0
60,2,0.0333,102,9,0.0882,0
54,4,0.0741,248,23,0.0927,0
44,5,0.1136,183,52,0.2842,0
40,1,0.025,155,22,0.1419,0
85,1,0.0118,164,37,0.2256,0
98,31,0.3163,170,2,0.0118,0
81,9,0.1111,131,6,0.0458,0
74,15,0.2027,154,4,0.026,0
89,13,0.1461,209,18,0.0861,0
114,4,0.0351,178,2,0.0112,0
117,1,0.0085,161,16,0.0994,0
107,1,0.0093,161,6,0.0373,0
118,14,0.1186,189,36,0.1905,0
140,22,0.1571,173,16,0.0925,0
140,0,0.0,188,7,0.0372,0
144,17,0.1181,176,6,0.0341,0
130,16,0.1231,183,30,0.1639,0
118,17,0.1441,183,16,0.0874,0
42,19,0.4524,92,34,0.3696,0
3,31,10.3333,409,323,0.7897,1
18,4,0.2222,175,1,0.0057,0
16,4,0.25,254,38,0.1496,0
312,34,0.109,621,85,0.1369,0
289,13,0.045,634,14,0.0221,0
259,30,0.1158,637,3,0.0047,0
232,0,0.0,623,20,0.0321,0
222,10,0.045,595,28,0.0471,0
216,13,0.0602,476,25,0.0525,0
13,128,9.8462,33,324,9.8182,1
19,7,0.3684,60,13,0.2167,0
43,14,0.3256,47,10,0.2128,0
26,3,0.1154,40,16,0.4,0
24,0,0.0,34,4,0.1176,0
20,0,0.0,46,4,0.087,0
23,3,0.1304,70,24,0.3429,0
31,2,0.0645,63,4,0.0635,0
16,3,0.1875,42,5,0.119,0
17,1,0.0588,51,8,0.1569,0
749,4,0.0053,1011,34,0.0336,0
695,80,0.1151,1007,1,0.001,0
584,42,0.0719,899,9,0.01,0
226,36,0.1593,343,50,0.1458,0
39,187,4.7949,107,236,2.2056,1
169,158,0.9349,206,3,0.0146,0
149,5,0.0336,210,1,0.0048,0
136,4,0.0294,201,5,0.0249,0
131,2,0.0153,211,3,0.0142,0
205,6,0.0293,283,1,0.0035,0
208,3,0.0144,284,1,0.0035,0
227,7,0.0308,318,18,0.0566,0
238,7,0.0294,330,5,0.0152,0
8,237,29.625,798,488,0.6115,1
314,19,0.0605,474,8,0.0169,0
365,4,0.011,541,23,0.0425,0
367,14,0.0381,535,5,0.0093,0
413,26,0.063,560,8,0.0143,0
8,405,50.625,1775,1215,0.6845,1
1,3,3.0,12,6,0.5,1
6,1,0.1667,31,6,0.1935,0
14,9,0.6429,165,25,0.1515,0
